# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.42
1                       0.41
2                       0.41
4                       0.41
8                       0.42
16                      0.42
32                      0.58
64                      0.57
128                     0.62
256                     0.64
512                     0.65
1024                    0.74
2048                    0.94
4096                    1.33
8192                    2.16
16384                   2.94
32768                   4.21
65536                   6.88
131072                 12.89
262144                 28.88
524288                 56.27
1048576               109.21
2097152               215.71
4194304               433.06
