# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       3.17        3171917.43
2                       5.79        2894675.43
4                      11.38        2844712.48
8                      24.71        3089363.71
16                     49.06        3066516.09
32                     75.37        2355276.54
64                    161.35        2521093.48
128                   318.65        2489451.92
256                   619.76        2420920.99
512                  1162.98        2271440.71
1024                 2070.48        2021948.25
2048                 3438.98        1679189.75
4096                 5030.34        1228111.08
8192                 6566.49         801573.89
16384                6876.86         419730.07
32768                9463.63         288807.00
65536               10846.08         165497.98
131072              11771.53          89809.64
262144              10367.68          39549.56
524288               9803.97          18699.58
1048576              9498.33           9058.31
2097152              9168.17           4371.72
4194304              9511.81           2267.79
