# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.45
1                       0.45
2                       0.43
4                       0.43
8                       0.43
16                      0.44
32                      0.60
64                      0.58
128                     0.62
256                     0.64
512                     0.67
1024                    0.77
2048                    0.97
4096                    1.33
8192                    2.15
16384                   2.97
32768                   4.27
65536                   7.07
131072                 13.75
262144                 30.14
524288                 59.13
1048576               115.36
2097152               241.60
4194304               487.79
