# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.45
1                       0.44
2                       0.44
4                       0.44
8                       0.44
16                      0.45
32                      0.58
64                      0.56
128                     0.60
256                     0.62
512                     0.64
1024                    0.73
2048                    0.92
4096                    1.30
8192                    2.05
16384                   2.75
32768                   3.90
65536                   6.30
131072                 12.50
262144                 26.14
524288                 53.41
1048576               109.65
2097152               223.16
4194304               450.61
