# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.89        2894685.90
2                       5.87        2937274.05
4                      11.64        2910130.62
8                      22.88        2859637.38
16                     46.32        2894960.87
32                     77.00        2406183.29
64                    148.47        2319867.71
128                   299.24        2337799.63
256                   593.21        2317227.76
512                  1112.83        2173504.03
1024                 1987.76        1941175.70
2048                 3248.23        1586047.93
4096                 4996.35        1219811.10
8192                 6417.53         783390.36
16384                6947.88         424065.14
32768                9149.11         279208.55
65536               11305.46         172507.62
131072              11284.22          86091.74
262144               9948.54          37950.67
524288               9921.91          18924.55
1048576              9439.18           9001.90
2097152              9294.89           4432.15
4194304              9075.16           2163.69
