# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.81
1                       1.81
2                       1.82
4                       1.84
8                       1.84
16                      1.83
32                      1.72
64                      1.78
128                     1.86
256                     2.40
512                     2.56
1024                    2.99
2048                    3.47
4096                    4.85
8192                    6.47
16384                  10.08
32768                  13.79
65536                  21.27
131072                 35.75
262144                 33.92
524288                 58.44
1048576               107.74
2097152               207.58
4194304               408.23
