# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.15        1150295.65
2                       2.21        1106251.67
4                       4.64        1159372.61
8                       9.22        1152941.26
16                     18.46        1153745.62
32                     36.58        1143217.05
64                     70.88        1107495.41
128                   136.65        1067579.98
256                   269.24        1051722.91
512                   530.28        1035701.94
1024                 1007.40         983785.07
2048                 1775.32         866857.70
4096                 2785.48         680047.67
8192                 3848.21         469752.25
16384                3435.64         209694.62
32768                3863.18         117894.92
65536                4127.46          62979.97
131072               4037.84          30806.26
262144              10201.46          38915.49
524288              10335.78          19713.94
1048576             10458.77           9974.26
2097152             10453.50           4984.62
4194304             10377.82           2474.27
