# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.82
1                       1.82
2                       1.82
4                       1.84
8                       1.85
16                      1.85
32                      1.85
64                      1.90
128                     1.95
256                     2.43
512                     2.53
1024                    2.62
2048                    3.20
4096                    4.48
8192                    6.77
16384                  11.22
32768                  15.63
65536                  21.89
131072                 34.23
262144                 33.85
524288                 58.29
1048576               108.03
2097152               207.56
4194304               408.04
