# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.84
1                       1.83
2                       1.84
4                       1.85
8                       1.84
16                      1.89
32                      1.85
64                      1.89
128                     1.94
256                     2.56
512                     2.83
1024                    3.00
2048                    3.67
4096                    5.13
8192                    6.21
16384                   9.32
32768                  12.62
65536                  19.23
131072                 32.70
262144                 33.73
524288                 58.17
1048576               107.82
2097152               208.65
4194304               407.23
