# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.19        1189661.84
2                       2.34        1170219.38
4                       4.72        1181174.22
8                       9.41        1176726.48
16                     18.62        1164056.69
32                     36.76        1148692.09
64                     71.37        1115092.34
128                   137.84        1076852.07
256                   274.97        1074086.82
512                   542.10        1058791.03
1024                 1024.16        1000157.52
2048                 1809.55         883569.07
4096                 2812.54         686655.49
8192                 3892.92         475209.93
16384                3432.30         209490.88
32768                3856.83         117701.14
65536                4097.15          62517.59
131072               4276.54          32627.42
262144              10328.41          39399.75
524288              10356.08          19752.65
1048576             10442.58           9958.83
2097152             10487.76           5000.95
4194304             10388.79           2476.88
