# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.17        1170168.03
2                       2.09        1043757.07
4                       5.01        1252521.43
8                      10.15        1269210.19
16                     20.41        1275609.35
32                     40.26        1258155.90
64                     77.86        1216639.83
128                   149.91        1171149.61
256                   297.93        1163791.68
512                   585.73        1144007.07
1024                 1116.90        1090723.85
2048                 1971.26         962529.91
4096                 3028.99         739500.54
8192                 4197.97         512447.51
16384                3746.79         228685.76
32768                3947.76         120476.00
65536                4473.98          68267.55
131072               4403.79          33598.23
262144              10191.55          38877.67
524288              10362.71          19765.30
1048576             10472.88           9987.71
2097152             10422.49           4969.83
4194304             10376.36           2473.92
